Text,robot,x1,y1,yaw1,x2,y2,yaw2,x3,y3,yaw3,x4,y4,yaw4,x5,y5,yaw5,x6,y6,yaw6,dt
walk ahead and curve left,UnitreeH1,0.4,0,-0.2,0.55,0,-0.3,0.65,0,-0.45,0.7,0,-0.55,0.65,0,-0.65,0.55,0,-0.6,0.65
move backward while turning right,UnitreeH1,-0.4,0,0.25,-0.55,0,0.4,-0.7,0,0.55,-0.75,0,0.7,-0.7,0,0.8,-0.6,0,0.7,0.6
reverse and curve right,UnitreeH1,-0.4,0,0.2,-0.55,0,0.3,-0.65,0,0.45,-0.7,0,0.55,-0.65,0,0.65,-0.55,0,0.6,0.65
move backward while turning left,UnitreeH1,-0.35,0,-0.2,-0.5,0,-0.3,-0.6,0,-0.4,-0.65,0,-0.5,-0.6,0,-0.55,-0.5,0,-0.5,0.65
reverse and curve left,UnitreeH1,-0.35,0,-0.2,-0.45,0,-0.3,-0.55,0,-0.4,-0.6,0,-0.5,-0.55,0,-0.55,-0.45,0,-0.5,0.7
move forward turn right then move backward,UnitreeH1,0.55,0,0.25,0.7,0,0.4,0.5,0,0.35,0.1,0,0.2,-0.25,0,0.1,-0.55,0,0,0.7
move forward turn left then move backward,UnitreeH1,0.45,0,-0.2,0.6,0,-0.3,0.4,0,-0.25,0.1,0,-0.1,-0.15,0,0,-0.4,0,0,0.7
move backward turn right then move forward,UnitreeH1,-0.55,0,0.25,-0.7,0,0.4,-0.5,0,0.35,-0.1,0,0.2,0.25,0,0.1,0.55,0,0,0.7
move backward turn left then move forward,UnitreeH1,-0.45,0,-0.2,-0.6,0,-0.3,-0.4,0,-0.25,-0.1,0,-0.1,0.15,0,0,0.4,0,0,0.7
move forward then turn right,UnitreeH1,0.55,0,0,0.75,0,0,0.75,0,0,0.45,0,0.25,0.2,0,0.55,0,0,0.8,0.65
move forward then turn left,UnitreeH1,0.55,0,0,0.75,0,0,0.75,0,0,0.45,0,-0.25,0.2,0,-0.55,0,0,-0.8,0.65
move backward then turn right,UnitreeH1,-0.55,0,0,-0.75,0,0,-0.75,0,0,-0.45,0,0.25,-0.2,0,0.55,0,0,0.8,0.65
move backward then turn left,UnitreeH1,-0.55,0,0,-0.75,0,0,-0.75,0,0,-0.45,0,-0.25,-0.2,0,-0.55,0,0,-0.8,0.65
move right then turn right,UnitreeH1,0,0.45,0,0,0.65,0,0,0.65,0,0,0.35,0.25,0,0.15,0.55,0,0,0.8,0.65
move left then turn left,UnitreeH1,0,-0.45,0,0,-0.65,0,0,-0.65,0,0,-0.35,0.25,0,-0.15,-0.55,0,0,-0.8,0.65
move right then move forward,UnitreeH1,0,0.4,0,0,0.6,0,0,0.55,0,0.25,0.25,0,0.5,0.55,0,0.7,0.65,0,0.65
move left then move forward,UnitreeH1,0,-0.4,0,0,-0.6,0,0,-0.55,0,0.25,-0.25,0,0.5,-0.55,0,0.7,-0.65,0,0.65
move right then move backward,UnitreeH1,0,0.4,0,0,0.6,0,0,0.55,0,-0.25,0.25,0,-0.5,0.55,0,-0.7,0.65,0,0.65
move left then move backward,UnitreeH1,0,-0.4,0,0,-0.6,0,0,-0.55,0,-0.25,-0.25,0,-0.5,-0.55,0,-0.7,-0.65,0,0.65
move in a forward zigzag,UnitreeH1,0.55,0.25,0,0.65,-0.25,0,0.75,0.3,0,0.75,-0.3,0,0.65,0.25,0,0.55,-0.25,0,0.55
zigzag forward quickly,UnitreeH1,0.7,0.35,0,0.85,-0.35,0,0.95,0.4,0,0.95,-0.4,0,0.85,0.35,0,0.7,-0.35,0,0.5
move in a backward zigzag,UnitreeH1,-0.55,0.25,0,-0.65,-0.25,0,-0.75,0.3,0,-0.75,-0.3,0,-0.65,0.25,0,-0.55,-0.25,0,0.55
zigzag backward slowly,UnitreeH1,-0.35,0.2,0,-0.45,-0.2,0,-0.5,0.25,0,-0.5,-0.25,0,-0.45,0.2,0,-0.35,-0.2,0,0.7
move in a clockwise circle,UnitreeH1,0.45,0,0.4,0.55,0,0.5,0.65,0,0.6,0.65,0,0.6,0.55,0,0.5,0.45,0,0.4,0.6
move in a counterclockwise circle,UnitreeH1,0.45,0,-0.4,0.55,0,-0.5,0.65,0,-0.6,0.65,0,-0.6,0.55,0,-0.5,0.45,0,-0.4,0.6
make a wide right arc,UnitreeH1,0.65,0,0.2,0.75,0,0.25,0.8,0,0.3,0.8,0,0.3,0.75,0,0.25,0.65,0,0.2,0.65
make a sharp right arc,UnitreeH1,0.35,0,0.55,0.45,0,0.7,0.5,0,0.85,0.5,0,0.85,0.45,0,0.7,0.35,0,0.55,0.55
make a wide left arc,UnitreeH1,0.65,0,-0.2,0.75,0,-0.25,0.8,0,-0.3,0.8,0,-0.3,0.75,0,-0.25,0.65,0,-0.2,0.65
make a sharp left arc,UnitreeH1,0.35,0,-0.55,0.45,0,-0.7,0.5,0,-0.85,0.5,0,-0.85,0.45,0,-0.7,0.35,0,-0.55,0.55
move diagonally forward right,UnitreeH1,0.4,0.3,0,0.55,0.4,0,0.7,0.5,0,0.75,0.55,0,0.7,0.5,0,0.55,0.4,0,0.65
move diagonally forward left,UnitreeH1,0.4,-0.3,0,0.55,-0.4,0,0.7,-0.5,0,0.75,-0.55,0,0.7,-0.5,0,0.55,-0.4,0,0.65
move diagonally backward right,UnitreeH1,-0.4,0.3,0,-0.55,0.4,0,-0.7,0.5,0,-0.75,0.55,0,-0.7,0.5,0,-0.55,0.4,0,0.65
move diagonally backward left,UnitreeH1,-0.4,-0.3,0,-0.55,-0.4,0,-0.7,-0.5,0,-0.75,-0.55,0,-0.7,-0.5,0,-0.55,-0.4,0,0.65
turn right then move forward,UnitreeH1,0,0,0.45,0,0,0.7,0,0,0.7,0.2,0,0.45,0.45,0,0.2,0.7,0,0,0.65
turn left then move forward,UnitreeH1,0,0,-0.45,0,0,-0.7,0,0,-0.7,0.2,0,-0.45,0.45,0,-0.2,0.7,0,0,0.65
turn right then move backward,UnitreeH1,0,0,0.45,0,0,0.7,0,0,0.7,-0.2,0,0.45,-0.45,0,0.2,-0.7,0,0,0.65
turn left then move backward,UnitreeH1,0,0,-0.45,0,0,-0.7,0,0,-0.7,-0.2,0,-0.45,-0.45,0,-0.2,-0.7,0,0,0.65
move forward then stop,UnitreeH1,0.6,0,0,0.8,0,0,0.8,0,0,0.5,0,0,0.2,0,0,0,0,0,0.6
move backward then stop,UnitreeH1,-0.6,0,0,-0.8,0,0,-0.8,0,0,-0.5,0,0,-0.2,0,0,0,0,0,0.6
move right then stop,UnitreeH1,0,0.4,0,0,0.6,0,0,0.65,0,0,0.4,0,0,0.15,0,0,0,0,0.65
move left then stop,UnitreeH1,0,-0.4,0,0,-0.6,0,0,-0.65,0,0,-0.4,0,0,-0.15,0,0,0,0,0.65
turn right then stop,UnitreeH1,0,0,0.5,0,0,0.75,0,0,0.85,0,0,0.55,0,0,0.2,0,0,0,0.6
turn left then stop,UnitreeH1,0,0,-0.5,0,0,-0.75,0,0,-0.85,0,0,-0.55,0,0,-0.2,0,0,0,0.6
move forward right then turn left,UnitreeH1,0.45,0.3,0,0.6,0.4,0,0.65,0.35,-0.15,0.55,0.2,-0.35,0.35,0,-0.6,0.1,0,-0.75,0.65
move forward left then turn right,UnitreeH1,0.45,-0.3,0,0.6,-0.4,0,0.65,-0.35,0.15,0.55,-0.2,0.35,0.35,0,0.6,0.1,0,0.75,0.65
turn right move forward then turn left,UnitreeH1,0,0,0.5,0.2,0,0.4,0.5,0,0.2,0.65,0,0,0.5,0,-0.25,0.2,0,-0.55,0.65
turn left move forward then turn right,UnitreeH1,0,0,-0.5,0.2,0,-0.4,0.5,0,-0.2,0.65,0,0,0.5,0,0.25,0.2,0,0.55,0.65
move forward strafe right then turn right,UnitreeH1,0.55,0,0,0.7,0,0,0.45,0.3,0,0.2,0.55,0,0,0.35,0.35,0,0,0.7,0.65
move forward strafe left then turn left,UnitreeH1,0.55,0,0,0.7,0,0,0.45,-0.3,0,0.2,-0.55,0,0,-0.35,-0.35,0,0,-0.7,0.65
move right turn left then move forward,UnitreeH1,0,0.45,0,0,0.6,0,0,0.35,-0.25,0.15,0.1,-0.5,0.4,0,-0.25,0.65,0,0,0.65
move left turn right then move forward,UnitreeH1,0,-0.45,0,0,-0.6,0,0,-0.35,0.25,0.15,-0.1,0.5,0.4,0,0.25,0.65,0,0,0.65
walk forward fast then slow down,UnitreeH1,0.95,0,0,1,0,0,0.85,0,0,0.65,0,0,0.45,0,0,0.3,0,0,0.55
walk backward fast then slow down,UnitreeH1,-0.95,0,0,-1,0,0,-0.85,0,0,-0.65,0,0,-0.45,0,0,-0.3,0,0,0.55
turn right fast then slow down,UnitreeH1,0,0,0.95,0,0,1,0,0,0.85,0,0,0.65,0,0,0.45,0,0,0.3,0.55
turn left fast then slow down,UnitreeH1,0,0,-0.95,0,0,-1,0,0,-0.85,0,0,-0.65,0,0,-0.45,0,0,-0.3,0.55
accelerate forward,UnitreeH1,0.2,0,0,0.35,0,0,0.5,0,0,0.65,0,0,0.8,0,0,0.95,0,0,0.55
accelerate backward,UnitreeH1,-0.2,0,0,-0.35,0,0,-0.5,0,0,-0.65,0,0,-0.8,0,0,-0.95,0,0,0.55
accelerate into a right turn,UnitreeH1,0.2,0,0.15,0.3,0,0.25,0.4,0,0.4,0.5,0,0.55,0.6,0,0.7,0.7,0,0.85,0.55
accelerate into a left turn,UnitreeH1,0.2,0,-0.15,0.3,0,-0.25,0.4,0,-0.4,0.5,0,-0.55,0.6,0,-0.7,0.7,0,-0.85,0.55
make a quick right left zigzag,UnitreeH1,0,0.55,0,0,-0.55,0,0,0.65,0,0,-0.65,0,0,0.55,0,0,-0.55,0,0.5
make a quick left right zigzag,UnitreeH1,0,-0.55,0,0,0.55,0,0,-0.65,0,0,0.65,0,0,-0.55,0,0,0.55,0,0.5
turn right while moving sideways right,UnitreeH1,0,0.3,0.35,0,0.4,0.5,0,0.5,0.65,0,0.55,0.75,0,0.5,0.7,0,0.4,0.55,0.6
turn left while moving sideways left,UnitreeH1,0,-0.3,-0.35,0,-0.4,-0.5,0,-0.5,-0.65,0,-0.55,-0.75,0,-0.5,-0.7,0,-0.4,-0.55,0.6
move sideways right then sideways left,UnitreeH1,0,0.45,0,0,0.65,0,0,0.35,0,0,-0.2,0,0,-0.5,0,0,-0.65,0,0.65
move sideways left then sideways right,UnitreeH1,0,-0.45,0,0,-0.65,0,0,-0.35,0,0,0.2,0,0,0.5,0,0,0.65,0,0.65
move forward turn right and stop,UnitreeH1,0.5,0,0.2,0.65,0,0.35,0.65,0,0.5,0.45,0,0.55,0.2,0,0.3,0,0,0,0.65
move forward turn left and stop,UnitreeH1,0.5,0,-0.2,0.65,0,-0.35,0.65,0,-0.5,0.45,0,-0.55,0.2,0,-0.3,0,0,0,0.65
move forward,UnitreeGo1,0.55,0,0,0.75,0,0,0.9,0,0,0.9,0,0,0.8,0,0,0.65,0,0,0.5
walk forward,UnitreeGo1,0.6,0,0,0.8,0,0,0.95,0,0,0.95,0,0,0.85,0,0,0.7,0,0,0.5
go straight ahead,UnitreeGo1,0.5,0,0,0.7,0,0,0.85,0,0,0.95,0,0,0.85,0,0,0.65,0,0,0.55
move ahead quickly,UnitreeGo1,0.75,0,0,0.95,0,0,1,0,0,1,0,0,0.95,0,0,0.8,0,0,0.4
walk ahead steadily,UnitreeGo1,0.55,0,0,0.7,0,0,0.8,0,0,0.8,0,0,0.75,0,0,0.65,0,0,0.6
advance forward,UnitreeGo1,0.6,0,0,0.8,0,0,0.95,0,0,0.95,0,0,0.85,0,0,0.7,0,0,0.5
move forward slowly,UnitreeGo1,0.25,0,0,0.35,0,0,0.45,0,0,0.5,0,0,0.45,0,0,0.35,0,0,0.65
walk forward fast,UnitreeGo1,0.8,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0.85,0,0,0.4
continue moving forward,UnitreeGo1,0.6,0,0,0.75,0,0,0.85,0,0,0.9,0,0,0.85,0,0,0.75,0,0,0.5
head straight forward,UnitreeGo1,0.55,0,0,0.75,0,0,0.9,0,0,0.95,0,0,0.85,0,0,0.7,0,0,0.5
move backward,UnitreeGo1,-0.55,0,0,-0.75,0,0,-0.9,0,0,-0.9,0,0,-0.8,0,0,-0.65,0,0,0.5
walk backward,UnitreeGo1,-0.6,0,0,-0.8,0,0,-0.95,0,0,-0.95,0,0,-0.85,0,0,-0.7,0,0,0.5
go straight back,UnitreeGo1,-0.5,0,0,-0.7,0,0,-0.85,0,0,-0.95,0,0,-0.85,0,0,-0.65,0,0,0.55
move backward quickly,UnitreeGo1,-0.75,0,0,-0.95,0,0,-1,0,0,-1,0,0,-0.95,0,0,-0.8,0,0,0.4
walk backward steadily,UnitreeGo1,-0.55,0,0,-0.7,0,0,-0.8,0,0,-0.8,0,0,-0.75,0,0,-0.65,0,0,0.6
reverse,UnitreeGo1,-0.6,0,0,-0.8,0,0,-0.95,0,0,-0.95,0,0,-0.85,0,0,-0.7,0,0,0.5
move backward slowly,UnitreeGo1,-0.25,0,0,-0.35,0,0,-0.45,0,0,-0.5,0,0,-0.45,0,0,-0.35,0,0,0.65
walk backward fast,UnitreeGo1,-0.8,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-0.85,0,0,0.4
continue moving backward,UnitreeGo1,-0.6,0,0,-0.75,0,0,-0.85,0,0,-0.9,0,0,-0.85,0,0,-0.75,0,0,0.5
head straight backward,UnitreeGo1,-0.55,0,0,-0.75,0,0,-0.9,0,0,-0.95,0,0,-0.85,0,0,-0.7,0,0,0.5
move right,UnitreeGo1,0,0.5,0,0,0.7,0,0,0.85,0,0,0.9,0,0,0.85,0,0,0.7,0,0.5
strafe right,UnitreeGo1,0,0.55,0,0,0.75,0,0,0.9,0,0,0.95,0,0,0.9,0,0,0.75,0,0.5
step sideways to the right,UnitreeGo1,0,0.45,0,0,0.65,0,0,0.8,0,0,0.85,0,0,0.8,0,0,0.65,0,0.55
move quickly to the right,UnitreeGo1,0,0.7,0,0,0.9,0,0,1,0,0,1,0,0,0.95,0,0,0.8,0,0.4
shift right slowly,UnitreeGo1,0,0.25,0,0,0.35,0,0,0.45,0,0,0.5,0,0,0.45,0,0,0.35,0,0.65
continue moving right,UnitreeGo1,0,0.55,0,0,0.75,0,0,0.9,0,0,0.95,0,0,0.9,0,0,0.75,0,0.5
slide to the right,UnitreeGo1,0,0.5,0,0,0.7,0,0,0.85,0,0,0.9,0,0,0.85,0,0,0.7,0,0.5
move sideways right,UnitreeGo1,0,0.55,0,0,0.75,0,0,0.9,0,0,0.95,0,0,0.9,0,0,0.75,0,0.5
take a quick step right,UnitreeGo1,0,0.7,0,0,0.9,0,0,1,0,0,1,0,0,0.95,0,0,0.8,0,0.4
head toward the right,UnitreeGo1,0,0.5,0,0,0.7,0,0,0.85,0,0,0.9,0,0,0.85,0,0,0.7,0,0.5
move left,UnitreeGo1,0,-0.5,0,0,-0.7,0,0,-0.85,0,0,-0.9,0,0,-0.85,0,0,-0.7,0,0.5
strafe left,UnitreeGo1,0,-0.55,0,0,-0.75,0,0,-0.9,0,0,-0.95,0,0,-0.9,0,0,-0.75,0,0.5
step sideways to the left,UnitreeGo1,0,-0.45,0,0,-0.65,0,0,-0.8,0,0,-0.85,0,0,-0.8,0,0,-0.65,0,0.55
move quickly to the left,UnitreeGo1,0,-0.7,0,0,-0.9,0,0,-1,0,0,-1,0,0,-0.95,0,0,-0.8,0,0.4
shift left slowly,UnitreeGo1,0,-0.25,0,0,-0.35,0,0,-0.45,0,0,-0.5,0,0,-0.45,0,0,-0.35,0,0.65
continue moving left,UnitreeGo1,0,-0.55,0,0,-0.75,0,0,-0.9,0,0,-0.95,0,0,-0.9,0,0,-0.75,0,0.5
slide to the left,UnitreeGo1,0,-0.5,0,0,-0.7,0,0,-0.85,0,0,-0.9,0,0,-0.85,0,0,-0.7,0,0.5
move sideways left,UnitreeGo1,0,-0.55,0,0,-0.75,0,0,-0.9,0,0,-0.95,0,0,-0.9,0,0,-0.75,0,0.5
take a quick step left,UnitreeGo1,0,-0.7,0,0,-0.9,0,0,-1,0,0,-1,0,0,-0.95,0,0,-0.8,0,0.4
head toward the left,UnitreeGo1,0,-0.5,0,0,-0.7,0,0,-0.85,0,0,-0.9,0,0,-0.85,0,0,-0.7,0,0.5
turn right,UnitreeGo1,0,0,0.55,0,0,0.75,0,0,0.9,0,0,1,0,0,0.95,0,0,0.8,0.45
rotate right,UnitreeGo1,0,0,0.6,0,0,0.8,0,0,0.95,0,0,1,0,0,0.95,0,0,0.8,0.45
turn clockwise,UnitreeGo1,0,0,0.55,0,0,0.75,0,0,0.9,0,0,0.95,0,0,0.9,0,0,0.75,0.5
turn right quickly,UnitreeGo1,0,0,0.75,0,0,0.95,0,0,1,0,0,1,0,0,1,0,0,0.9,0.4
turn right slowly,UnitreeGo1,0,0,0.25,0,0,0.35,0,0,0.45,0,0,0.5,0,0,0.45,0,0,0.35,0.65
keep turning right,UnitreeGo1,0,0,0.6,0,0,0.8,0,0,0.95,0,0,1,0,0,0.95,0,0,0.8,0.45
spin to the right,UnitreeGo1,0,0,0.75,0,0,0.95,0,0,1,0,0,1,0,0,1,0,0,0.9,0.4
pivot right,UnitreeGo1,0,0,0.5,0,0,0.7,0,0,0.85,0,0,0.95,0,0,0.9,0,0,0.75,0.5
rotate clockwise quickly,UnitreeGo1,0,0,0.75,0,0,0.95,0,0,1,0,0,1,0,0,1,0,0,0.9,0.4
make a right turn,UnitreeGo1,0,0,0.55,0,0,0.75,0,0,0.9,0,0,1,0,0,0.95,0,0,0.8,0.45
turn left,UnitreeGo1,0,0,-0.55,0,0,-0.75,0,0,-0.9,0,0,-1,0,0,-0.95,0,0,-0.8,0.45
rotate left,UnitreeGo1,0,0,-0.6,0,0,-0.8,0,0,-0.95,0,0,-1,0,0,-0.95,0,0,-0.8,0.45
turn counterclockwise,UnitreeGo1,0,0,-0.55,0,0,-0.75,0,0,-0.9,0,0,-0.95,0,0,-0.9,0,0,-0.75,0.5
